"","date","country","monthly_hashrate_.","monthly_absolute_hashrate_EH.S"
"42","2020-01-01","Russian Federation","6.05%",6.6
"43","2020-01-01","Other","5.56%",6.08
"44","2020-01-01","Malaysia","4.13%",4.52
"45","2020-01-01","Kazakhstan","3.49%",3.81
"46","2020-01-01","United States","3.44%",3.76
"47","2020-01-01","Iran, Islamic Rep.","3.2%",3.5
"48","2020-01-01","Canada","1.06%",1.16
"49","2020-01-01","Germany *","0.38%",0.42
"50","2020-01-01","Ireland *","0.0%",0
"51","2020-02-01","Mainland China","72.98%",80.59
"52","2020-02-01","Russian Federation","5.56%",6.14
"53","2020-02-01","Other","5.42%",5.98
"54","2020-02-01","United States","4.54%",5.02
"55","2020-02-01","Malaysia","3.94%",4.35
"56","2020-02-01","Kazakhstan","3.26%",3.6
"57","2020-02-01","Iran, Islamic Rep.","3.01%",3.32
"58","2020-02-01","Canada","0.92%",1.02
"59","2020-02-01","Germany *","0.37%",0.41
"60","2020-02-01","Ireland *","0.0%",0
"61","2020-03-01","Mainland China","67.06%",71.65
"62","2020-03-01","United States","7.07%",7.55
"63","2020-03-01","Russian Federation","5.97%",6.37
"64","2020-03-01","Kazakhstan","5.62%",6
"65","2020-03-01","Other","5.42%",5.79
"66","2020-03-01","Malaysia","4.11%",4.39
"67","2020-03-01","Iran, Islamic Rep.","3.53%",3.77
"68","2020-03-01","Canada","0.79%",0.85
"69","2020-03-01","Germany *","0.43%",0.46
"70","2020-03-01","Ireland *","0.0%",0
"71","2020-04-01","Mainland China","64.81%",72.19
"72","2020-04-01","United States","7.24%",8.07
"73","2020-04-01","Russian Federation","6.9%",7.69
"74","2020-04-01","Kazakhstan","6.17%",6.88
"75","2020-04-01","Other","5.35%",5.96
"76","2020-04-01","Malaysia","4.33%",4.82
"77","2020-04-01","Iran, Islamic Rep.","3.82%",4.25
"78","2020-04-01","Canada","0.82%",0.91
"79","2020-04-01","Germany *","0.56%",0.63
"80","2020-04-01","Ireland *","0.0%",0
"81","2020-05-01","Mainland China","59.48%",62.89
"82","2020-05-01","Russian Federation","9.34%",9.87
"83","2020-05-01","United States","8.22%",8.69
"84","2020-05-01","Other","6.73%",7.11
"85","2020-05-01","Malaysia","5.21%",5.51
"86","2020-05-01","Kazakhstan","5.2%",5.5
"87","2020-05-01","Iran, Islamic Rep.","3.85%",4.07
"88","2020-05-01","Canada","1.02%",1.08
"89","2020-05-01","Germany *","0.94%",1
"90","2020-05-01","Ireland *","0.0%",0
"91","2020-06-01","Mainland China","64.67%",72.19
"92","2020-06-01","Russian Federation","8.25%",9.21
"93","2020-06-01","United States","6.7%",7.47
"94","2020-06-01","Other","5.76%",6.43
"95","2020-06-01","Malaysia","5.46%",6.1
"96","2020-06-01","Kazakhstan","4.86%",5.43
"97","2020-06-01","Iran, Islamic Rep.","3.0%",3.35
"98","2020-06-01","Germany *","0.64%",0.72
"99","2020-06-01","Canada","0.62%",0.7
"100","2020-06-01","Ireland *","0.02%",0.02
"101","2020-07-01","Mainland China","66.86%",81.71
"102","2020-07-01","Russian Federation","8.08%",9.87
"103","2020-07-01","Malaysia","5.62%",6.87
"104","2020-07-01","Other","5.45%",6.67
"105","2020-07-01","United States","5.09%",6.22
"106","2020-07-01","Kazakhstan","4.58%",5.6
"107","2020-07-01","Iran, Islamic Rep.","2.81%",3.44
"108","2020-07-01","Canada","1.15%",1.4
"109","2020-07-01","Germany *","0.35%",0.43
"110","2020-07-01","Ireland *","0.01%",0.01
"111","2020-08-01","Mainland China","66.86%",82.71
"112","2020-08-01","Russian Federation","8.17%",10.1
"113","2020-08-01","Malaysia","6.23%",7.7
"114","2020-08-01","Other","5.01%",6.2
"115","2020-08-01","Kazakhstan","4.57%",5.65
"116","2020-08-01","United States","4.2%",5.2
"117","2020-08-01","Iran, Islamic Rep.","2.67%",3.3
"118","2020-08-01","Canada","1.87%",2.32
"119","2020-08-01","Germany *","0.39%",0.48
"120","2020-08-01","Ireland *","0.03%",0.04
"121","2020-09-01","Mainland China","67.12%",91.1
"122","2020-09-01","United States","7.08%",9.61
"123","2020-09-01","Russian Federation","5.74%",7.79
"124","2020-09-01","Other","4.95%",6.72
"125","2020-09-01","Malaysia","4.48%",6.08
"126","2020-09-01","Kazakhstan","4.09%",5.55
"127","2020-09-01","Iran, Islamic Rep.","2.47%",3.35
"128","2020-09-01","Canada","1.84%",2.49
"129","2020-09-01","Ireland *","1.41%",1.91
"130","2020-09-01","Germany *","0.82%",1.12
"131","2020-10-01","Mainland China","67.38%",88.92
"132","2020-10-01","United States","6.71%",8.86
"133","2020-10-01","Other","5.27%",6.96
"134","2020-10-01","Russian Federation","4.9%",6.47
"135","2020-10-01","Malaysia","4.12%",5.44
"136","2020-10-01","Kazakhstan","3.59%",4.74
"137","2020-10-01","Iran, Islamic Rep.","2.82%",3.73
"138","2020-10-01","Ireland *","2.51%",3.31
"139","2020-10-01","Canada","1.51%",2
"140","2020-10-01","Germany *","1.18%",1.56
"141","2020-11-01","Mainland China","55.58%",71.7
"142","2020-11-01","United States","9.38%",12.1
"143","2020-11-01","Other","7.36%",9.49
"144","2020-11-01","Russian Federation","6.77%",8.73
"145","2020-11-01","Malaysia","5.27%",6.8
"146","2020-11-01","Kazakhstan","4.77%",6.15
"147","2020-11-01","Iran, Islamic Rep.","4.0%",5.16
"148","2020-11-01","Ireland *","3.07%",3.96
"149","2020-11-01","Germany *","2.16%",2.79
"150","2020-11-01","Canada","1.65%",2.12
"151","2020-12-01","Mainland China","53.27%",72.72
"152","2020-12-01","United States","10.41%",14.21
"153","2020-12-01","Russian Federation","7.16%",9.78
"154","2020-12-01","Other","6.95%",9.48
"155","2020-12-01","Kazakhstan","5.35%",7.3
"156","2020-12-01","Malaysia","5.29%",7.21
"157","2020-12-01","Iran, Islamic Rep.","4.78%",6.52
"158","2020-12-01","Ireland *","3.09%",4.21
"159","2020-12-01","Germany *","2.89%",3.94
"160","2020-12-01","Canada","0.83%",1.13
"161","2021-01-01","Mainland China","53.3%",79.53
"162","2021-01-01","United States","10.55%",15.74
"163","2021-01-01","Other","7.17%",10.7
"164","2021-01-01","Russian Federation","6.91%",10.3
"165","2021-01-01","Kazakhstan","6.17%",9.2
"166","2021-01-01","Malaysia","5.18%",7.73
"167","2021-01-01","Iran, Islamic Rep.","4.15%",6.19
"168","2021-01-01","Germany *","3.09%",4.61
"169","2021-01-01","Ireland *","2.59%",3.86
"170","2021-01-01","Canada","0.9%",1.34
"171","2021-02-01","Mainland China","51.58%",80.01
"172","2021-02-01","United States","13.37%",20.74
"173","2021-02-01","Other","7.2%",11.17
"174","2021-02-01","Kazakhstan","6.71%",10.41
"175","2021-02-01","Russian Federation","6.43%",9.97
"176","2021-02-01","Malaysia","4.66%",7.22
"177","2021-02-01","Iran, Islamic Rep.","4.15%",6.44
"178","2021-02-01","Germany *","2.75%",4.27
"179","2021-02-01","Ireland *","2.08%",3.23
"180","2021-02-01","Canada","1.07%",1.66
"181","2021-03-01","Mainland China","49.06%",78.29
"182","2021-03-01","United States","16.12%",25.73
"183","2021-03-01","Kazakhstan","7.65%",12.21
"184","2021-03-01","Russian Federation","6.47%",10.33
"185","2021-03-01","Other","6.02%",9.61
"186","2021-03-01","Iran, Islamic Rep.","4.67%",7.45
"187","2021-03-01","Malaysia","3.66%",5.85
"188","2021-03-01","Germany *","2.69%",4.29
"189","2021-03-01","Ireland *","2.07%",3.31
"190","2021-03-01","Canada","1.58%",2.53
"191","2021-04-01","Mainland China","46.04%",72.39
"192","2021-04-01","United States","16.85%",26.49
"193","2021-04-01","Kazakhstan","8.19%",12.88
"194","2021-04-01","Russian Federation","6.84%",10.75
"195","2021-04-01","Other","5.92%",9.31
"196","2021-04-01","Iran, Islamic Rep.","4.64%",7.3
"197","2021-04-01","Malaysia","3.44%",5.41
"198","2021-04-01","Canada","3.0%",4.73
"199","2021-04-01","Germany *","2.81%",4.42
"200","2021-04-01","Ireland *","2.27%",3.57
"201","2021-05-01","Mainland China","43.98%",70.91
"202","2021-05-01","United States","17.77%",28.66
"203","2021-05-01","Kazakhstan","7.37%",11.88
"204","2021-05-01","Russian Federation","7.19%",11.59
"205","2021-05-01","Other","6.36%",10.25
"206","2021-05-01","Canada","4.74%",7.64
"207","2021-05-01","Iran, Islamic Rep.","4.3%",6.94
"208","2021-05-01","Malaysia","3.24%",5.23
"209","2021-05-01","Germany *","2.79%",4.51
"210","2021-05-01","Ireland *","2.25%",3.62
"211","2021-06-01","Mainland China","34.25%",41.12
"212","2021-06-01","United States","21.81%",26.18
"213","2021-06-01","Russian Federation","8.9%",10.68
"214","2021-06-01","Kazakhstan","8.8%",10.57
"215","2021-06-01","Other","6.91%",8.29
"216","2021-06-01","Canada","5.98%",7.18
"217","2021-06-01","Malaysia","3.79%",4.55
"218","2021-06-01","Iran, Islamic Rep.","3.43%",4.11
"219","2021-06-01","Germany *","3.28%",3.94
"220","2021-06-01","Ireland *","2.86%",3.43
"221","2021-07-01","United States","35.12%",35.24
"222","2021-07-01","Kazakhstan","13.79%",13.83
"223","2021-07-01","Russian Federation","11.9%",11.94
"224","2021-07-01","Canada","10.83%",10.87
"225","2021-07-01","Other","9.41%",9.44
"226","2021-07-01","Malaysia","5.39%",5.41
"227","2021-07-01","Ireland *","5.06%",5.08
"228","2021-07-01","Germany *","4.7%",4.71
"229","2021-07-01","Iran, Islamic Rep.","3.81%",3.82
"230","2021-07-01","Mainland China","0%",0
"231","2021-08-01","United States","35.4%",42.74
"232","2021-08-01","Kazakhstan","18.1%",21.85
"233","2021-08-01","Russian Federation","11.23%",13.56
"234","2021-08-01","Canada","9.55%",11.54
"235","2021-08-01","Other","8.86%",10.69
"236","2021-08-01","Ireland *","4.68%",5.65
"237","2021-08-01","Malaysia","4.59%",5.54
"238","2021-08-01","Germany *","4.48%",5.4
"239","2021-08-01","Iran, Islamic Rep.","3.11%",3.75
"240","2021-08-01","Mainland China","0%",0
